WP 1.0 bot,6589889,mediumaquamarine
Cydebot,6336698,mediumaquamarine
ClueBot NG,5196209,mediumaquamarine
AnomieBOT,4361942,mediumaquamarine
SmackBot,3171007,mediumaquamarine
Yobot,2823974,mediumaquamarine
Addbot,2712291,mediumaquamarine
InternetArchiveBot,2683840,mediumaquamarine
Ser Amantio di Nicolao,2642285,gold
EmausBot,1961489,mediumaquamarine
Monkbot,1556995,mediumaquamarine
AAlertBot,1555931,mediumaquamarine
RjwilmsiBot,1511640,mediumaquamarine
Koavf,1501381,gold
KasparBot,1487075,mediumaquamarine
BrownHairedGirl,1486023,gold
Xqbot,1482497,mediumaquamarine
ClueBot,1464818,mediumaquamarine
InceptionBot,1368367,mediumaquamarine
BD2412,1358460,gold
MediaWiki message delivery,1287683,mediumaquamarine
Rich Farmbrough,1254142,gold
COIBot,1250043,mediumaquamarine
Tom.Reding,1210959,gold
RussBot,1119886,mediumaquamarine
Waacstats,1108188,gold
KolbertBot,1106100,mediumaquamarine
Cyberbot I,1063132,mediumaquamarine
Materialscientist,1059053,gold
AvicBot,1047660,mediumaquamarine
Hmains,1047292,gold
Bearcat,953537,gold
The Anomebot2,930853,mediumaquamarine
GreenC bot,922837,mediumaquamarine
Lugnuts,910086,gold
DeltaQuadBot,901683,mediumaquamarine
Luckas-bot,899725,mediumaquamarine
Legobot,873298,mediumaquamarine
SporkBot,871187,mediumaquamarine
Lowercase sigmabot III,865857,mediumaquamarine
Tassedethe,862420,gold
Bender the Bot,861058,mediumaquamarine
Rjwilmsi,852382,gold
FrescoBot,820780,mediumaquamarine
BG19bot,819068,mediumaquamarine
SineBot,796817,mediumaquamarine
Tim!,791818,mediumpurple
JJMC89 bot,770482,mediumaquamarine
Lightbot,763848,mediumaquamarine
AlexNewArtBot,725615,mediumaquamarine
Magioladitis,715836,gold
ClueBot III,696946,mediumaquamarine
ZéroBot,682102,mediumaquamarine
Frietjes,656368,gold
CommonsDelinker,621107,gold
XLinkBot,598314,mediumaquamarine
Dl2000,597556,gold
Jevansen,593790,gold
Good Olfactory,572127,gold
Hugo999,570992,gold
MiszaBot III,565801,mediumaquamarine
Citation bot,565488,mediumaquamarine
RMCD bot,561055,mediumaquamarine
OrphanBot,560033,mediumaquamarine
John of Reading,548306,gold
TXiKiBoT,548073,mediumaquamarine
Woohookitty,545442,gold
Northamerica1000,524808,gold
ListeriaBot,504790,mediumaquamarine
VeblenBot,501236,mediumaquamarine
WOSlinker,500228,gold
Reports bot,492131,mediumaquamarine
WhisperToMe,481753,gold
DPL bot,470498,mediumaquamarine
Helpful Pixie Bot,470347,mediumaquamarine
BattyBot,466511,mediumaquamarine
DatBot,462572,mediumaquamarine
Thijs!bot,462174,mediumaquamarine
Chris the speller,461169,gold
Gilliam,455703,gold
HBC AIV helperbot5,452104,mediumaquamarine
Alansohn,436367,gold
Jllm06,433968,gold
Bender235,431445,gold
VolkovBot,429397,mediumaquamarine
TedderBot,419847,mediumaquamarine
Fbot,419194,mediumaquamarine
West.andrew.g,404190,gold
Oshwah,404066,gold
TAnthony,399658,gold
Kwamikagami,398469,gold
Bgwhite,393929,mediumpurple
Ss112,390521,gold
GiantSnowman,383237,gold
Carlossuarez46,383171,gold
I dream of horses,382235,gold
GoingBatty,373707,gold
D6,371913,mediumaquamarine
SieBot,368519,mediumaquamarine
Courcelles,366069,gold
LilHelpa,362449,gold
BOTijo,361813,mediumaquamarine
BetacommandBot,360815,mediumaquamarine
Mattythewhite,360315,gold
Dr. Blofeld,359267,gold
GrahamHardy,357007,gold
Alaibot,349055,mediumaquamarine
BD2412bot,342849,mediumaquamarine
Colonies Chris,340316,gold
EdwardsBot,339000,mediumaquamarine
Dimadick,338609,gold
Ronhjones,336170,mediumpurple
Johnpacklambert,333440,gold
Onel5969,332205,gold
Niceguyedc,329235,gold
TonyTheTiger,328303,gold
R'n'B,327797,gold
Zyxw,327020,gold
Bluebot,322505,mediumaquamarine
JL-Bot,321751,mediumaquamarine
William Avery,320669,gold
HasteurBot,316245,mediumaquamarine
Charles Matthews,314650,gold
Red Director,312287,mediumpurple
Full-date unlinking bot,307536,mediumaquamarine
Keith D,306753,gold
Gene93k,303966,gold
Kante4,303147,gold
Mathbot,303103,mediumaquamarine
ImageRemovalBot,300759,mediumaquamarine
GoodDay,298981,gold
MiszaBot II,297723,mediumaquamarine
HostBot,295412,mediumaquamarine
Ohconfucius,295335,gold
Iridescent,295086,gold
DASHBot,291068,mediumaquamarine
J.delanoy,284403,gold
Jweiss11,284030,gold
CmdrObot,283821,mediumaquamarine
Plantdrew,283537,gold
Trappist the monk,282525,gold
PrimeBOT,282302,mediumaquamarine
YurikBot,280697,mediumaquamarine
Binksternet,279396,gold
Markussep,278128,gold
RonBot,277564,mediumaquamarine
Narky Blert,275870,gold
Jim1138,275329,gold
Dormskirk,274730,gold
Drmies,273589,gold
Illegitimate Barrister,273338,gold
Zackmann08,272830,gold
Mlaffs,271926,gold
Nyttend,270138,gold
Werldwayd,269942,gold
Widr,268884,gold
Headbomb,265661,gold
Magic links bot,264974,mediumaquamarine
ChrisGualtieri,261444,gold
Doc James,259265,gold
VoABot II,257578,mediumaquamarine
Cyberbot II,257253,mediumaquamarine
Arjayay,255867,gold
Eubot,254791,mediumaquamarine
Discospinster,254706,gold
The Transhumanist,253901,gold
HBC AIV helperbot7,252997,mediumaquamarine
ArthurBot,252826,mediumaquamarine
Rms125a@hotmail.com,250379,gold
Dcirovic,249070,gold
Sfan00 IMG,248130,mediumpurple
Another Believer,247057,gold
VIAFbot,244222,mediumaquamarine
Derek R Bullamore,243727,gold
Lord Cornwallis,243372,gold
Armbrust,242932,gold
Grutness,241760,gold
Dale Arnett,240883,gold
SoxBot,239540,mediumaquamarine
Aboutmovies,237759,gold
Djln,234294,gold
Marcocapelle,233657,gold
Boleyn,232734,gold
Vegaswikian,232698,mediumpurple
Xezbeth,232154,gold
